Links,Predicao_Cleaned_NNETAR,Predicao_NNETAR,Predicao_Cleaned_GRU,Predicao_GRU,Predicao_Cleaned_LSTM,Predicao_LSTM
CE_SP,70975351689390.84,6262723583091447.0,63218780375290.74,7159799308301804.0,68762238545060.54,6625495059751059.0
MG_RS,278545309138890.34,3.6575552724305444e+18,274059050700097.0,2.3586820308592215e+18,281010365818719.72,2.5478476692281477e+18
PA_BA,4.991086351710857e+18,6060938783437601.0,2.0132892395876462e+18,1.7746473726292128e+17,2.2678786244301376e+18,7.902287828530264e+16
PR_AM,72332968681237.61,1.0779264404136942e+18,60333369942465.26,1.5622354704437036e+18,59962833506470.61,1.759301485167081e+18
